Gene Name,GenBank Gene ID,Drug ID
SCN2A,M94055,DB00273
SCN2A,M94055, DB00555
SCN2A,M94055, DB00564
SCN2A,M94055, DB09085
SCN2A,M94055, DB09088
SCN2A,M94055, DB09342
SCN2A,M94055, DB09345
SCN3A,AJ251507,DB00909
SCN3A,AJ251507,DB00907
SCN3A,AJ251507, DB05541
SCN3A,AJ251507, DB13269
SCN3A,AJ251507,DB00273
SCN3A,AJ251507, DB00555
SCN3A,AJ251507, DB00564
SCN3A,AJ251507, DB09085
SCN3A,AJ251507, DB09088
SCN3A,AJ251507, DB09342
SCN3A,AJ251507, DB09345
SCN4A,M81758,DB00909
SCN4A,M81758, DB01195
SCN4A,M81758,DB00907
SCN4A,M81758, DB05541
SCN4A,M81758, DB13269
SCN4A,M81758,DB00273
SCN4A,M81758, DB00555
SCN4A,M81758, DB00564
SCN4A,M81758, DB09085
SCN4A,M81758, DB09088
SCN4A,M81758, DB09342
SCN4A,M81758, DB09345
